2025-08-25 09:44:24 | RSUFusion.SORTTracker | DEBUG    | sort_tracker.py:208 | SORT performance: 0.3ms/frame, 2 confirmed tracks
2025-08-25 09:44:24 | RSUFusion.TrackingProcess | DEBUG    | run_phase1.py:268 | Tracking: 2 confirmed tracks
2025-08-25 09:44:24 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 54.2 FPS
2025-08-25 09:44:24 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (601.6, 100.4)
2025-08-25 09:44:24 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (599.7, 99.8)
2025-08-25 09:44:24 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (597.3, 100.1)
2025-08-25 09:44:24 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (596.3, 99.9)
2025-08-25 09:44:24 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (595.2, 100.4)
2025-08-25 09:44:24 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.4 FPS
2025-08-25 09:44:25 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (592.0, 100.3)
2025-08-25 09:44:25 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (590.9, 100.4)
2025-08-25 09:44:25 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (589.5, 100.3)
2025-08-25 09:44:25 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (586.3, 100.0)
2025-08-25 09:44:25 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (585.7, 99.8)
2025-08-25 09:44:25 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 54.7 FPS
2025-08-25 09:44:25 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (582.6, 99.7)
2025-08-25 09:44:25 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (579.9, 99.8)
2025-08-25 09:44:25 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (578.7, 99.8)
2025-08-25 09:44:25 | RSUFusion.SORTTracker | DEBUG    | sort_tracker.py:303 | Deleting track 1 (too old: 31 frames)
2025-08-25 09:44:25 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (576.4, 99.9)
2025-08-25 09:44:25 | RSUFusion.CameraProcess | DEBUG    | run_phase1.py:146 | Ambulance speed: 0.0 km/h
2025-08-25 09:44:25 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (574.7, 99.1)
2025-08-25 09:44:26 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 52.1 FPS
2025-08-25 09:44:26 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (569.5, 100.2)
2025-08-25 09:44:26 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (563.9, 99.7)
2025-08-25 09:44:26 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (557.5, 99.5)
2025-08-25 09:44:26 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (555.0, 99.7)
2025-08-25 09:44:26 | RSUFusion.SORTTracker | DEBUG    | sort_tracker.py:303 | Deleting track 2 (too old: 31 frames)
2025-08-25 09:44:26 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.5 FPS
2025-08-25 09:44:26 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (546.6, 99.3)
2025-08-25 09:44:27 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.5 FPS
2025-08-25 09:44:27 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.3, 99.8)
2025-08-25 09:44:27 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.5, 99.7)
2025-08-25 09:44:27 | RSUFusion.YOLODetector | DEBUG    | yolo_detector.py:155 | Detection performance: 59.1 FPS, 1 objects detected
